freq (Hz)	magnitude
5.530000E+2	1.676840E-1
5.540000E+2	1.667820E-1
5.550000E+2	1.311390E-1
5.560000E+2	1.770785E-1
5.570000E+2	1.263293E-1
5.580000E+2	1.565215E-1
5.590000E+2	1.497861E-1
5.600000E+2	1.213464E-1
5.610000E+2	1.610358E-1
5.620000E+2	1.176348E-1
5.630000E+2	1.443735E-1
5.640000E+2	1.386266E-1
5.650000E+2	1.128207E-1
5.660000E+2	1.521707E-1
5.670000E+2	1.124039E-1
5.680000E+2	1.395588E-1
5.690000E+2	1.279219E-1
5.700000E+2	1.058542E-1
5.710000E+2	1.398675E-1
5.720000E+2	1.023168E-1
5.730000E+2	1.282438E-1
5.740000E+2	1.205325E-1
5.750000E+2	1.024527E-1
5.760000E+2	1.335853E-1
5.770000E+2	9.883342E-2
5.780000E+2	1.244286E-1
5.790000E+2	1.164058E-1
5.800000E+2	1.001540E-1
5.810000E+2	1.270296E-1
5.820000E+2	9.400063E-2
5.830000E+2	1.179476E-1
5.840000E+2	1.095110E-1
5.850000E+2	9.485751E-2
5.860000E+2	1.208890E-1
5.870000E+2	9.184510E-2
5.880000E+2	1.138091E-1
5.890000E+2	1.053609E-1
5.900000E+2	9.236431E-2
5.910000E+2	1.161238E-1
5.920000E+2	8.985269E-2
5.930000E+2	1.098288E-1
5.940000E+2	1.020850E-1
5.950000E+2	9.054273E-2
5.960000E+2	1.130916E-1
5.970000E+2	8.713091E-2
5.980000E+2	1.077844E-1
5.990000E+2	9.869113E-2
6.000000E+2	9.200891E-2
6.010000E+2	1.084737E-1
6.020000E+2	8.744940E-2
6.030000E+2	1.033757E-1
6.040000E+2	9.618256E-2
6.050000E+2	8.549911E-2
6.060000E+2	1.051200E-1
6.070000E+2	8.730072E-2
6.080000E+2	1.079920E-1
6.090000E+2	9.970030E-2
6.100000E+2	8.866793E-2
6.110000E+2	1.079009E-1
6.120000E+2	8.729398E-2
6.130000E+2	1.020996E-1
6.140000E+2	9.509107E-2
6.150000E+2	8.600567E-2
6.160000E+2	1.034688E-1
6.170000E+2	8.346515E-2
6.180000E+2	9.832649E-2
6.190000E+2	9.214854E-2
6.200000E+2	8.330675E-2
6.210000E+2	1.002342E-1
6.220000E+2	8.317056E-2
6.230000E+2	9.757049E-2
6.240000E+2	9.330365E-2
6.250000E+2	8.492386E-2
6.260000E+2	1.014225E-1
6.270000E+2	8.483090E-2
6.280000E+2	9.656521E-2
6.290000E+2	9.251860E-2
6.300000E+2	8.476063E-2
6.310000E+2	1.007617E-1
